GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0026562	43868.5455480573	-2.38255375304417	0.0835225231281109	-28.5258833642956	5.5951066949464e-179	4.84032680179813e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07674246603683	0.144657905725844	-28.1819541461017	9.73174450557963e-175	2.80631072392565e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.9954231840745	0.106239999063298	-28.1948720866406	6.75849209311094e-175	2.80631072392565e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.6803835034645	0.0992245312653718	27.0133148454582	1.03100952429118e-160	2.22981584866075e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11124928852756	0.0911704728097924	-23.1571606843833	1.23126724188952e-118	2.13033858191724e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.3706979382291	0.169769330545424	-19.8545751897586	1.00609693076283e-87	1.4506240913382e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41861841922811	0.121932427325039	-19.8357276426617	1.46382930435077e-87	1.8090839017055e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31429990151528	0.131223751016583	-17.6362882754572	1.29705951279564e-69	1.40260773064938e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92757215646052	0.171225309802445	-17.0977769573802	1.54173872845895e-65	1.48195352665537e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33699940164236	0.144138800737888	16.2135343826824	4.04614944847192e-59	3.50032388787306e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.17486621455253	0.137603340902437	-15.8053300180738	2.85889264811527e-56	2.24838911807683e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28372207622213	0.166853803530849	-13.6869644436957	1.21479115671447e-42	8.75763191394737e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.16269191876146	0.0860494833780356	-13.5118988879164	1.33044933038839e-41	8.85362858245383e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.35990537057094	0.18232859740763	12.9431444333164	2.56895528933583e-38	1.58743087200316e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55764685856627	0.123521824623928	12.6102967091739	1.8529411045404e-36	1.06865289969193e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340061437709	0.116293333841723	-12.5837016278921	2.59575598128467e-36	1.40349281213086e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63623036755939	0.130118861164774	-12.5748900114287	2.90203909516756e-36	1.47679648307615e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
